CODE,MEZZ,STATION,PLATFORM TYPE
A01,1,METRO CENTER ,SPLIT
A02,2,FARRAGUT NORTH,ISLAND
A03,5,DUPONT CIRCLE,SPLIT
A04,7,WOODLEY PARK,ISLAND
A05,8,CLEVELAND PARK,ISLAND
A06,9,VAN NESS-UDC,ISLAND
A07,10,TENLEYTOWN-AU,ISLAND
A08,104,FRIENDSHIP HTS.,ISLAND
A09,12,BETHESDA,ISLAND
A10,13,MEDICAL CTR.,ISLAND
A11,14,GROSVENOR,ISLAND
A12,15,N BETHESDA,ISLAND
A13,16,TWINBROOK,ISLAND
A14,17,ROCKVILLE,ISLAND
A15,18,SHADY GROVE,ISLAND
A99,------,SHADY GROVE YARD,
B01,20,GALLERY PLACE,SPLIT
B02,22,JUDICIARY SQUARE,SPLIT
B03,24,UNION STATION,ISLAND
B35,108,NoMa-GALLAUDET  U.,ISLAND
B04,26,RHODE ISLAND AVE,ISLAND
B05,27,BROOKLAND-CUA,ISLAND
B06,28,FORT TOTTEN,ISLAND
B07,29,TAKOMA,ISLAND
B08,30,SILVER SPRING,ISLAND
B09,32,FOREST GLEN,ISLAND
B10,33,WHEATON,ISLAND
B11,34,GLENMONT,ISLAND
B98,------,GLENMONT YARD,
B99,------,BRENTWOOD YARD,
C01,35,METRO CENTER,ISLAND
C02,36,MCPHERSON SQUARE,SPLIT
C03,38,FARRAGUT WEST,SPLIT
C04,40,FOGGY BOTTOM-GWU,ISLAND
C05,41,ROSSLYN,ISLAND
C06,42,ARLINGTON CEMETERY,SPLIT
C07,43,PENTAGON,ISLAND
C08,44,PENTAGON CITY,SPLIT
C09,45,CRYSTAL CITY,SPLIT
C10,46,REAGAN NATIONAL AIRPORT,ISLAND
C11,,POTOMAC YARD,SPLIT
C12,47,BRADDOCK ROAD,ISLAND
C13,48,KING ST-OLD TOWN,ISLAND
C14,49,EISENHOWER AVE,SPLIT
C15,50,HUNTINGTON ,ISLAND
C98,-------,TELEGRAPH ROAD,
C99,-------,ALEXANDRIA YARD,
D01,53,FEDERAL TRIANGLE,ISLAND
D02,54,SMITHSONIAN,SPLIT
D03,56,L'ENFANT PLAZA,ISLAND
D04,58,FEDERAL CENTER  SW,ISLAND
D05,59,CAPITOL SOUTH,ISLAND
D06,60,EASTERN MARKET,ISLAND
D07,61,POTOMAC AVENUE,ISLAND
D08,62,STADIUM-ARMORY ,ISLAND
D09,64,MINNESOTA AVENUE,ISLAND
D10,65,DEANWOOD,ISLAND
D11,66,CHEVERLY,SPLIT
D12,67,LANDOVER,ISLAND
D13,68,NEW CARROLLTON,ISLAND
D99,--------,NEW CARROLLTON YARD,
E01,70,MT. VERNON SQUARE,ISLAND
E02,71,SHAW-HOWARD UNIV,ISLAND
E03,73,U-STREET,ISLAND
E04,75,COLUMBIA HEIGHTS,ISLAND
E05,76,GEORGIA AVENUE,ISLAND
E06,N/A,FORT TOTTEN,ISLAND
E07,77,WEST HYATTSVILLE,SPLIT
E08,78,HYATTSVILLE CROSSING,SPLIT
E09,79,COLLEGE PARK-UMD,ISLAND
E10,80,GREENBELT,ISLAND
E99,-------,GREENBELT YARD,
F01,69,GALLERY PLACE,ISLAND
F02,81,ARCHIVES,ISLAND
F03,82,L'ENFANT PLAZA,SPLIT
F04,83,WATERFRONT,ISLAND
F05,84,NAVY YARD-BALLPARK,ISLAND
F06,85,ANACOSTIA,ISLAND
F07,86,CONGRESS HEIGHTS,ISLAND
F08,107,SOUTHERN AVENUE,ISLAND
F09,87,NAYLOR ROAD,ISLAND
F10,88,SUITLAND,ISLAND
F11,89,BRANCH AVENUE,ISLAND
F99,------,BRANCH AVENUE YARD,
G01,90,BENNING ROAD,ISLAND
G02,91,CAPITOL HEIGHTS,ISLAND
G03,92,ADDISON ROAD,ISLAND
G04,110,MORGAN BLVD,ISLAND
G05,111,LARGO,ISLAND
G98,------,LARGO YARD,
J02,94,VAN DORN STREET,ISLAND
J03,95,FRANCONIA- SPRINGFIELD,ISLAND
K01,96,COURT HOUSE,ISLAND
K02,97,CLARENDON,SPLIT
K03,98,VIRGINIA SQUARE,SPLIT
K04,99,BALLSTON-MU,SPLIT
K05,100,EAST FALLS CHURCH,ISLAND
K06,101,WEST FALLS CHURCH,ISLAND
K07,102,DUNN LORING,SPLIT
K08,103,VIENNA/FAIRFAX,SPLIT
K99,,WEST FALLS CHURCH YARD,
N01,114,MCLEAN,ISLAND
N02,115,TYSONS CORNER,ISLAND
N03,116,GREENSBORO,ISLAND
N04,117,SPRING HILL,ISLAND
N06,118,WIEHLE-RESTON E,ISLAND
CTF,T38,CARMEN TURNER FACILITY,
N07,119,RESTON,ISLAND
N08,120,HERNDON,ISLAND
N09,121,INNOVATION CENTER,ISLAND
N10,122,DULLES AIRPORT,ISLAND
N11,123,LOUDON,ISLAND
N12,124,ASHBURN,ISLAND
